City Name,Temperature,Maximum Temp,Wind,Cloudiness,Latitude,Longitude
Belaya Gora,-23.66,-23.66,4.88,92,68.5333,146.4167
Cua,26.0,26.0,2.57,40,10.1589,-66.8858
Kruisfontein,18.27,18.27,1.37,85,-34.0033,24.7314
Kaeo,22.78,22.78,4.02,100,-35.1,173.7833
San Isidro,25.73,27.0,4.12,0,-12.1167,-77.05
Mana,25.03,25.03,5.01,98,5.6592,-53.7767
Whitefish,3.91,5.0,5.66,1,48.4111,-114.3376
Glodeni,-0.67,0.0,0.45,71,47.7708,27.5144
Longyearbyen,-5.0,-5.0,1.54,75,78.2186,15.6401
Khani,5.0,5.0,1.03,75,41.9563,42.9566
Shādegān,17.48,18.0,4.12,0,30.6497,48.6647
Half Moon Bay,12.36,14.0,7.2,1,37.4636,-122.4286
San Patricio,24.03,25.0,10.8,1,28.017,-97.5169
Hammerfest,-8.0,-8.0,4.63,0,70.6634,23.6821
Chinchani,24.05,24.05,1.5,0,19.8667,72.7
Avera,20.0,20.0,2.06,1,33.194,-82.5271
